id,hospital_name,sido,sggu,emdong,address,longitude,latitude
v3dr2h,예쁜브이라인의원,서울,강남구,역삼동,"서울특별시 강남구 강남대로 378, 준빌딩 13층 (역삼동)",127.0286835,37.4966716
2p39yl,예쁜얼굴의원,서울,강남구,논현동,"서울특별시 강남구 강남대로 562, 5층 (논현동, 케이엠빌딩)",127.0212815,37.5121864
9ue421,예쁨주의쁨의원,서울,강남구,역삼동,"서울특별시 강남구 강남대로 470, 808타워 12~15층 (역삼동)",127.0250552,37.5043479
vmefoz,예사랑피부과의원,서울,강남구,개포동,"서울특별시 강남구 개포로 615, (개포동, 202호, 203호일부)",127.0756013,37.4926645
tp7bd4,예스미의원,서울,강남구,신사동,"서울특별시 강남구 논현로176길 14, 3층 (신사동)",127.0297326,37.5269931
w1arag,예스민의원,서울,강남구,청담동,"서울특별시 강남구 도산대로 409, S&S TOWER 6층 (청담동)",127.0404854,37.5237127
dx5o31,예인피부과의원,서울,강남구,삼성동,"서울특별시 강남구 선릉로 510, 7층 (삼성동, 오성빌딩)",127.0489654,37.5051717
yhxso7,예정홀릭성형외과의원,서울,강남구,역삼동,"서울특별시 강남구 강남대로 402, 4층 (역삼동)",127.0278562,37.4988176
vbgr8w,예젤의원,서울,강남구,역삼동,"서울특별시 강남구 언주로 538, 대웅빌딩 1층 (역삼동)",127.0412297,37.5064017
2maiet,예지인피부과의원,서울,강남구,역삼동,"서울특별시 강남구 선릉로 517, 4층 (역삼동)",127.0481651,37.5057184
dn1th1,예진성형외과의원,서울,강남구,신사동,"서울특별시 강남구 논현로168길 37, 1,2층 (신사동)",127.0313358,37.5233357
xjg2y8,예피다의원,서울,강남구,신사동,"서울특별시 강남구 강남대로 624, ICT TOWER 6층 (신사동)",127.0195523,37.5174876
rgybxk,옐로우성형외과의원,서울,강남구,역삼동,"서울특별시 강남구 강남대로 406, GLASS TOWER 5층 (역삼동)",127.0276559,37.4990209
pm21b0,오가나셀피부과의원,서울,강남구,청담동,"서울특별시 강남구 도산대로 420, 청담스퀘어 2층 211호 (청담동)",127.0422013,37.5230216
7g2re6,오늘성형외과의원,서울,강남구,논현동,"서울특별시 강남구 강남대로 596, 극동빌딩 10,11층 (논현동)",127.020372,37.5150269
zvlhyl,오늘안피부과의원,서울,강남구,신사동,"서울특별시 강남구 도산대로49길 17, 산딸기빌딩 3층 (신사동)",127.0370343,37.5240612
2ld05n,오드의원,서울,강남구,역삼동,"서울특별시 강남구 강남대로 340, 경원빌딩 8층 (역삼동)",127.0302188,37.4935461
hqr6f7,오라(AURA)성형외과의원,서울,강남구,논현동,"서울특별시 강남구 학동로 337, H타워 4층 (논현동)",127.0399436,37.5170765
qnezw9,오렌지성형외과의원,서울,강남구,신사동,"서울특별시 강남구 압구정로28길 49, (신사동, 201호일부)",127.0277277,37.5232635
heyce4,오로라의원,서울,강남구,논현동,"서울특별시 강남구 언주로 647, 5층 (논현동)",127.0349695,37.5143533
qgm5v2,오르세윤의원,서울,강남구,청담동,"서울특별시 강남구 압구정로 444, 4층 (청담동)",127.0456005,37.5262319
wwg84d,오메가성형외과의원,서울,강남구,신사동,"서울특별시 강남구 논현로167길 13, (신사동, 일신빌딩 2~4층)",127.0270195,37.524441
4r9v4k,오브제성형외과의원,서울,강남구,역삼동,"서울특별시 강남구 테헤란로4길 5, 2층,5층 (역삼동)",127.0300093,37.4979247
00ilu6,오블리성형외과의원,서울,강남구,역삼동,"서울특별시 강남구 테헤란로 105, 8층 (역삼동)",127.0285428,37.498646
vfua9b,오빗의원,서울,강남구,신사동,"서울특별시 강남구 논현로175길 6, 3층 (신사동)",127.0279356,37.526372
q1btr2,오상신경외과의원,서울,강남구,논현동,"서울특별시 강남구 논현로 656, B1, 1, 2, 6층 (논현동)",127.0318347,37.5125526
3qiua0,오수진피부과의원,서울,강남구,논현동,"서울특별시 강남구 도산대로 120, 청호빌딩 13층 (논현동)",127.021882,37.5167404
